;video_id;view_count;like_count;favorite_count;comment_count;positive_score;negative_score;neutral_score;compound_score
77;xGnGfR0tD44;432542;18753;0;2131;0.116;0.0264;0.8432;0.03666175999999997
78;0L95BV6VCXg;1733477;51868;0;2566;0.01073345259391771;0.0035778175313059034;0.973613595706619;0.002285017889087657
79;ieIT_g7p9TY;438924;21379;0;778;0.1136;0.0352;0.8192;0.027715679999999996
80;LDlW9c2Q6dA;574999;19608;0;953;0.13118279569892474;0.03064516129032258;0.8263440860215053;0.0405839784946236
81;O2yp8FR4XXg;1048296;32540;0;2578;0.011494252873563218;0.0019704433497536944;0.9766830870279146;0.004369359605911328
82;j41RlF1Ntf4;547927;22587;0;1912;0.012591389114541024;0.00487408610885459;0.9735987002437043;0.0022735580828594647
83;PF3MSETIo9M;960234;36390;0;2525;0.010475774770842427;0.003491924923614142;0.975556525534701;0.0030888694893059804
84;qb5wOAZDtHk;757554;29909;0;1375;0.010874490258269144;0.0031717263253285004;0.9737199818758495;0.0033105573176257365
85;T38tV0DE_zM;470064;13913;0;587;0.10854745673833247;0.026743576297850027;0.8463555322496067;0.0317614053487152
86;Aqro2sFwA0w;487073;21501;0;556;0.10571923743500866;0.024263431542461005;0.854419410745234;0.032794974003466204
87;ffDXhm2vjDs;549939;27819;0;1097;0.10886319845857419;0.033236994219653176;0.8424855491329479;0.0304572736030828
88;DdrEMcel3nw;571927;20815;0;838;0.08576998050682261;0.029889538661468484;0.8706952566601689;0.02056952566601689
89;tbgSwiqDmvI;748214;26918;0;1637;0.08498023715415019;0.03458498023715415;0.8586956521739131;0.02019486166007906
90;gzQb1FIFkvQ;711701;27492;0;2693;0.0975609756097561;0.029865604778496764;0.8491786958685913;0.024929367844698833
91;H8P33IZNSVE;592999;24713;0;1406;0.12932501418037437;0.030629608621667612;0.8122518434486671;0.04222677254679511
92;Yc3gNa9ujYU;1278197;43061;0;2233;0.11661506707946337;0.029411764705882353;0.8379772961816305;0.0351702786377708
93;ptycSvOmw6o;527942;17942;0;1231;0.013565395444074738;0.0033273611466598414;0.9779882262605579;0.0032707192219093915
